,Address,CommandResponse,ControlMode,ControlScheme,CRC,DataLength,FunctionCode,InvalidDataLength,InvalidFunctionCode,PIDCycleTime,PIDDeadband,PIDGain,PIDRate,PIDReset,PipelinePSI,PumpState,SetPoint,SolenoidState,TimeInterval,deltaPIDCycleTime,deltaPIDDeadband,deltaPIDGain,deltaPIDRate,deltaPIDReset,deltaPipelinePSI,deltaSetPoint
1774,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,689,0,0,0,0,0,-19.091953,0
17582,4,0,0,0,4541,19,3,1,1,0,0,0,0,0,9.505747,1,0,1,615,0,0,0,0,0,9.505747,0
3516,4,0,0,0,4131,19,3,1,1,0,0,0,0,0,9.988505,1,0,1,522,0,0,0,0,0,9.988505,0
24349,4,0,0,0,3845,19,3,1,1,0,0,0,0,0,10.471264,1,0,0,560,0,0,0,0,0,10.471264,0
22186,4,0,0,0,3642,19,3,1,1,0,0,0,0,0,9.655172,1,0,1,569,0,0,0,0,0,9.655172,0
6458,4,0,0,0,3439,19,3,1,1,0,0,0,0,0,0.19540231,0,0,0,712,0,0,0,0,0,0.19540231,0
29278,4,0,0,0,4543,19,3,1,1,0,0,0,0,0,20.25,1,0,0,447,0,0,0,0,0,-0.25,0
1154,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,758,0,0,0,0,0,-19.586206,0
5214,4,0,0,0,3134,19,3,1,1,0,0,0,0,0,9.712644000000001,1,0,1,653,0,0,0,0,0,9.712644000000001,0
11013,4,0,0,0,3932,19,3,1,1,0,0,0,0,0,9.264368,1,0,1,700,0,0,0,0,0,9.264368,0
21931,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,700,0,0,0,0,0,-10.137931,0
22082,4,0,0,0,3331,19,3,1,1,0,0,0,0,0,9.793103,1,0,1,655,0,0,0,0,0,9.793103,0
21586,4,0,0,0,4243,19,3,1,1,0,0,0,0,0,9.908046,1,0,0,524,0,0,0,0,0,9.908046,0
21169,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.609196,0
4204,4,0,0,0,4539,19,3,1,1,0,0,0,0,0,11.011494,1,0,0,621,0,0,0,0,0,11.011494,0
11745,4,0,0,0,4541,19,3,1,1,0,0,0,0,0,10.873564,1,0,1,732,0,0,0,0,0,10.873564,0
22309,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,675,0,0,0,0,0,-9.689655,0
4478,4,0,0,0,3042,19,3,1,1,0,0,0,0,0,11.252873,1,0,1,635,0,0,0,0,0,11.252873,0
29195,4,0,0,0,4543,19,3,1,1,0,0,0,0,0,20.25,1,0,0,400,0,0,0,0,0,-0.25,0
25058,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,675,0,0,0,0,0,-0.09195402,0
18673,4,0,0,0,4231,19,3,1,1,0,0,0,0,0,9.942528999999999,1,0,1,570,0,0,0,0,0,9.942528999999999,0
5501,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,702,0,0,0,0,0,-10.597700999999999,0
21016,4,0,0,0,3443,19,3,1,1,0,0,0,0,0,9.574713000000001,1,0,1,611,0,0,0,0,0,9.574713000000001,0
22903,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,667,0,0,0,0,0,-10.160919,0
15013,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,664,0,0,0,0,0,-10.21839,0
16129,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,671,0,0,0,0,0,-14.827587,0
19444,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,753,0,0,0,0,0,-9.643678999999999,0
26154,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,754,0,0,0,0,0,-9.931035000000001,0
18107,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,757,0,0,0,0,0,-0.09195402,0
5259,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,753,0,0,0,0,0,-9.620689,0
28084,4,0,0,0,4545,19,3,1,1,0,0,0,0,0,20.0,1,0,0,395,0,0,0,0,0,0.0,0
19494,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,656,0,0,0,0,0,-9.563217999999999,0
3943,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,675,0,0,0,0,0,-24.310345,0
23883,4,0,0,0,4336,19,3,1,1,0,0,0,0,0,10.195402,1,0,1,524,0,0,0,0,0,10.195402,0
13160,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,671,0,0,0,0,0,-15.275863000000001,0
24948,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,636,0,0,0,0,0,-0.06896552,0
14812,4,0,0,0,3843,19,3,1,1,0,0,0,0,0,10.034483,1,0,1,533,0,0,0,0,0,10.034483,0
23359,4,0,0,0,4244,19,3,1,1,0,0,0,0,0,10.206897,1,0,0,644,0,0,0,0,0,10.206897,0
1619,4,0,0,0,3742,19,3,1,1,0,0,0,0,0,19.241379000000002,1,0,1,642,0,0,0,0,0,19.241379000000002,0
12605,4,0,0,0,3034,19,3,1,1,0,0,0,0,0,15.356321,1,0,1,656,0,0,0,0,0,15.356321,0
9402,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,680,0,0,0,0,0,-0.04597701,0
28249,4,0,0,0,4545,19,3,1,1,0,0,0,0,0,20.0,1,0,0,439,0,0,0,0,0,0.0,0
11118,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,653,0,0,0,0,0,-10.666667,0
8538,4,0,0,0,3639,19,3,1,1,0,0,0,0,0,19.011494,1,0,0,621,0,0,0,0,0,19.011494,0
8059,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,628,0,0,0,0,0,-17.827587,0
19434,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.620689,0
20341,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,700,0,0,0,0,0,-10.436782000000001,0
25147,4,0,0,0,4342,19,3,1,1,0,0,0,0,0,0.09195402,0,0,0,600,0,0,0,0,0,0.09195402,0
23163,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,658,0,0,0,0,0,-10.597700999999999,0
25036,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,638,0,0,0,0,0,-0.09195402,0
21381,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,632,0,0,0,0,0,-9.75862,0
7801,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,660,0,0,0,0,0,-19.885057,0
7094,4,0,0,0,3541,19,3,1,1,0,0,0,0,0,0.21839081,0,0,0,529,0,0,0,0,0,0.21839081,0
28341,4,0,0,0,4545,19,3,1,1,0,0,0,0,0,20.0,1,0,0,460,0,0,0,0,0,10.4375,0
10389,4,0,0,0,3445,19,3,1,1,0,0,0,0,0,0.04597701,0,0,0,527,0,0,0,0,0,0.04597701,0
13409,4,0,0,0,4443,19,3,1,1,0,0,0,0,0,13.4827585,1,0,1,560,0,0,0,0,0,13.4827585,0
4207,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,624,0,0,0,0,0,-10.517241499999999,0
22892,4,0,0,0,3034,19,3,1,1,0,0,0,0,0,10.655172,1,0,1,558,0,0,0,0,0,10.655172,0
19386,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.632184,0
18999,4,0,0,0,4333,19,3,1,1,0,0,0,0,0,9.597700999999999,1,0,1,653,0,0,0,0,0,9.597700999999999,0
13288,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,704,0,0,0,0,0,-13.563219,0
716,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,655,0,0,0,0,0,-0.19540231,0
6133,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,684,0,0,0,0,0,-0.19540231,0
15830,4,0,0,0,4239,19,3,1,1,0,0,0,0,0,10.540230000000001,1,0,1,718,0,0,0,0,0,10.540230000000001,0
17819,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,683,0,0,0,0,0,-1.2298850000000001,0
26263,4,0,0,0,4246,19,3,1,1,0,0,0,0,0,10.367816,1,0,1,704,0,0,0,0,0,10.367816,0
7847,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,695,0,0,0,0,0,-17.908045,0
10015,4,0,0,0,3733,19,3,1,1,0,0,0,0,0,0.057471264,0,0,0,629,0,0,0,0,0,0.057471264,0
4037,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,702,0,0,0,0,0,-22.747126,0
28717,4,0,0,0,4545,19,3,1,1,0,0,0,0,0,20.0,1,0,0,2017,0,0,0,0,0,0.0,0
15569,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,659,0,0,0,0,0,-10.620689,0
10560,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,636,0,0,0,0,0,-9.436782000000001,0
1102,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,659,0,0,0,0,0,-19.37931,0
25459,4,0,0,0,3730,19,3,1,1,0,0,0,0,0,0.057471264,0,0,0,572,0,0,0,0,0,0.057471264,0
7685,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,678,0,0,0,0,0,-20.390804,0
17147,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,666,0,0,0,0,0,-9.574713000000001,0
8835,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,799,0,0,0,0,0,-18.83908,0
15912,4,0,0,0,4430,19,3,1,1,0,0,0,0,0,10.160919,1,0,0,655,0,0,0,0,0,10.160919,0
24203,4,0,0,0,4635,19,3,1,1,0,0,0,0,0,9.931035000000001,1,0,1,697,0,0,0,0,0,9.931035000000001,0
18277,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,646,0,0,0,0,0,-0.080459766,0
14077,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,681,0,0,0,0,0,-0.04597701,0
27626,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,676,0,0,0,0,0,-10.459769999999999,0
26762,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,754,0,0,0,0,0,-9.827586,0
24923,4,0,0,0,4242,19,3,1,1,0,0,0,0,0,0.080459766,0,0,0,603,0,0,0,0,0,0.080459766,0
2715,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,656,0,0,0,0,0,-11.126437,0
8402,4,0,0,0,4334,19,3,1,1,0,0,0,0,0,19.908045,1,0,0,612,0,0,0,0,0,19.908045,0
12186,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,653,0,0,0,0,0,-10.0,0
5196,4,0,0,0,3834,19,3,1,1,0,0,0,0,0,10.344828,1,0,0,523,0,0,0,0,0,10.344828,0
15325,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-10.137931,0
27459,4,0,0,0,3443,19,3,1,1,0,0,0,0,0,9.574713000000001,1,0,1,610,0,0,0,0,0,9.574713000000001,0
1692,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,660,0,0,0,0,0,-19.252874,0
4655,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,798,0,0,0,0,0,-9.977012,0
21119,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,630,0,0,0,0,0,-9.563217999999999,0
19110,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,660,0,0,0,0,0,-10.862069,0
12955,4,0,0,0,4536,19,3,1,1,0,0,0,0,0,13.609195000000001,1,0,1,603,0,0,0,0,0,13.609195000000001,0
6169,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,648,0,0,0,0,0,-0.21839081,0
20751,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.528735000000001,0
